S.No.,Name,Symbol,Sector
1,Berkshire Hathaway Inc,BRKB,Financials
2,Unitedhealth Group Inc,UNH,Health Care
3,Eli Lilly,LLY,Health Care
4,JPMorgan Chase & Co,JPM,Financials
5,Exxon Mobil Corp,XOM,Energy
6,Johnson & Johnson,JNJ,Health Care
7,Procter & Gamble,PG,Consumer Staples
8,Mastercard Inc,MA,Financials
9,Home Depot Inc,HD,Consumer Discretionary
10,Chevron Corp,CVX,Energy
11,Merck & Co Inc,MRK,Health Care
12,Abbvie Inc,ABBV,Health Care
13,Coca-Cola,KO,Consumer Staples
14,Walmart Inc,WMT,Consumer Staples
15,Thermo Fisher Scientific Inc,TMO,Health Care
16,Mcdonalds Corp,MCD,Consumer Discretionary
17,Pfizer Inc,PFE,Health Care
18,Salesforce Inc,CRM,Information Technology
19,Bank Of America Corp,BAC,Financials
20,Accenture Plc,ACN,Information Technology
21,Linde Plc,LIN,Materials
22,Abbott Laboratories,ABT,Health Care
23,Oracle Corp,ORCL,Information Technology
24,Danaher Corp,DHR,Health Care
25,Wells Fargo,WFC,Financials
26,Walt Disney,DIS,Communication
27,Philip Morris International Inc,PM,Consumer Staples
28,Verizon Communications Inc,VZ,Communication
29,Conocophillips,COP,Energy
30,Caterpillar Inc,CAT,Industrials
31,Nextera Energy Inc,NEE,Utilities
32,Union Pacific Corp,UNP,Industrials
33,Lowes Companies Inc,LOW,Consumer Discretionary
34,International Business Machines Co,IBM,Information Technology
35,Bristol Myers Squibb,BMY,Health Care
36,Boeing,BA,Industrials
37,United Parcel Service Inc,UPS,Industrials
38,General Electric,GE,Industrials
39,Nike Inc,NKE,Consumer Discretionary
40,Prologis Reit Inc,PLD,Real Estate
41,Servicenow Inc,NOW,Information Technology
42,Morgan Stanley,MS,Financials
43,Elevance Health Inc,ELV,Health Care
44,Medtronic Plc,MDT,Health Care
45,Goldman Sachs Group Inc,GS,Financials
46,Deere,DE,Industrials
47,Lockheed Martin Corp,LMT,Industrials
48,Tjx Inc,TJX,Consumer Discretionary
49,At&T Inc,T,Communication
50,Blackrock Inc,BLK,Financials
51,Marsh & Mclennan Inc,MMC,Financials
52,American Express,AXP,Financials
53,Stryker Corp,SYK,Health Care
54,Eaton Plc,ETN,Industrials
55,Charles Schwab Corp,SCHW,Financials
56,Cvs Health Corp,CVS,Health Care
57,Zoetis Inc,ZTS,Health Care
58,Cigna,CI,Health Care
59,Chubb Ltd,CB,Financials
60,American Tower Reit Corp,AMT,Real Estate
61,Schlumberger Nv,SLB,Energy
62,Citigroup Inc,C,Financials
63,Becton Dickinson,BDX,Health Care
64,Altria Group Inc,MO,Consumer Staples
65,Fiserv Inc,FI,Financials
66,Eog Resources Inc,EOG,Energy
67,Boston Scientific Corp,BSX,Health Care
68,Cme Group Inc,CME,Financials
69,Duke Energy Corp,DUK,Utilities
70,Aon Plc,AON,Financials
71,Illinois Tool Inc,ITW,Industrials
72,"
Hubbell",HUBB,Industrials
73,Intercontinental Exchange Inc,ICE,Financials
74,Sherwin Williams,SHW,Materials
75,Northrop Grumman Corp,NOC,Industrials
76,Colgate-Palmolive,CL,Consumer Staples
77,Marathon Petroleum Corp,MPC,Energy
78,Humana Inc,HUM,Health Care
79,Fedex Corp,FDX,Industrials
80,Mckesson Corp,MCK,Health Care
81,Hca Healthcare Inc,HCA,Health Care
82,Freeport Mcmoran Inc,FCX,Materials
83,Emerson Electric,EMR,Industrials
84,Pioneer Natural Resource,PXD,Energy
85,Moodys Corp,MCO,Financials
86,Roper Technologies Inc,ROP,Information Technology
87,Chipotle Mexican Grill Inc,CMG,Consumer Discretionary
88,Phillips,PSX,Energy
89,Parker-Hannifin Corp,PH,Industrials
90,Amphenol Corp,APH,Information Technology
91,General Dynamics Corp,GD,Industrials
92,Us Bancorp,USB,Financials
93,Arthur J Gallagher,AJG,Financials
94,Norfolk Southern Corp,NSC,Industrials
95,Pnc Financial Services Group Inc,PNC,Financials
96,Valero Energy Corp,VLO,Energy
97,Gbp Cash,GBP,Cash and/or Derivatives
98,Ford Motor Co,F,Consumer Discretionary
99,Motorola Solutions Inc,MSI,Information Technology
100,General Motors,GM,Consumer Discretionary
101,Trane Technologies Plc,TT,Industrials
102,Edwards Lifesciences Corp,EW,Health Care
103,Carrier Global Corp,CARR,Industrials
104,Transdigm Group Inc,TDG,Industrials
105,Arista Networks Inc,ANET,Information Technology
106,Sempra,SRE,Utilities
107,Ecolab Inc,ECL,Materials
108,Occidental Petroleum Corp,OXY,Energy
109,Archer Daniels Midland,ADM,Consumer Staples
110,Kimberly Clark Corp,KMB,Consumer Staples
111,Msci Inc,MSCI,Financials
112,Williams Inc,WMB,Energy
113,American International Group Inc,AIG,Financials
114,Constellation Brands Inc,STZ,Consumer Staples
115,Nucor Corp,NUE,Materials
116,Aflac Inc,AFL,Financials
117,Kenvue Inc,KVUE,Consumer Staples
118,Dominion Energy Inc,D,Utilities
119,Te Connectivity Ltd,TEL,Information Technology
120,Johnson Controls International Plc,JCI,Industrials
121,Metlife Inc,MET,Financials
122,General Mills Inc,GIS,Consumer Staples
123,Iqvia Holdings Inc,IQV,Health Care
124,Welltower Inc,WELL,Real Estate
125,Hilton Worldwide Holdings Inc,HLT,Consumer Discretionary
126,Capital One Financial Corp,COF,Financials
127,Truist Financial Corp,TFC,Financials
128,Realty Income Reit Corp,O,Real Estate
129,Digital Realty Trust Reit Inc,DLR,Real Estate
130,D R Horton Inc,DHI,Consumer Discretionary
131,Yum Brands Inc,YUM,Consumer Discretionary
132,Simon Property Group Reit Inc,SPG,Real Estate
133,Ametek Inc,AME,Industrials
134,Sysco Corp,SYY,Consumer Staples
135,Agilent Technologies Inc,A,Health Care
136,Corteva Inc,CTVA,Materials
137,Centene Corp,CNC,Health Care
138,Estee Lauder Inc,EL,Consumer Staples
139,Ameriprise Finance Inc,AMP,Financials
140,Halliburton,HAL,Energy
141,Otis Worldwide Corp,OTIS,Industrials
142,Rockwell Automation Inc,ROK,Industrials
143,Prudential Financial Inc,PRU,Financials
144,Dupont De Nemours Inc,DD,Materials
145,Kinder Morgan Inc,KMI,Energy
146,L3Harris Technologies Inc,LHX,Industrials
147,Dollar General Corp,DG,Consumer Staples
148,Fidelity National Information Serv,FIS,Financials
149,Ppg Industries Inc,PPG,Materials
150,Ww Grainger Inc,GWW,Industrials
151,Hershey Foods,HSY,Consumer Staples
152,Bank Of New York Mellon Corp,BK,Financials
153,Devon Energy Corp,DVN,Energy
154,Consolidated Edison Inc,ED,Utilities
155,United Rentals Inc,URI,Industrials
156,Vici Pptys Inc,VICI,Real Estate
157,Public Service Enterprise Group In,PEG,Utilities
158,Lennar A Corp,LEN,Consumer Discretionary
159,Quanta Services Inc,PWR,Industrials
160,West Pharmaceutical Services Inc,WST,Health Care
161,Cencora Inc,COR,Health Care
162,Oneok Inc,OKE,Energy
163,Vulcan Materials,VMC,Materials
164,Arch Capital Group Ltd,ACGL,Financials
165,Allstate Corp,ALL,Financials
166,Ingersoll Rand Inc,IR,Industrials
167,Cdw Corp,CDW,Information Technology
168,Martin Marietta Materials Inc,MLM,Materials
169,Pg&E Corp,PCG,Utilities
170,Delta Air Lines Inc,DAL,Industrials
171,Fortive Corp,FTV,Industrials
172,American Water Works Inc,AWK,Utilities
173,Gartner Inc,IT,Information Technology
174,Wec Energy Group Inc,WEC,Utilities
175,Hp Inc,HPQ,Information Technology
176,Edison International,EIX,Utilities
177,Cbre Group Inc,CBRE,Real Estate
178,Aptiv Plc,APTV,Consumer Discretionary
179,Mettler Toledo Inc,MTD,Health Care
180,Avalonbay Communities Reit Inc,AVB,Real Estate
181,Illumina Inc,ILMN,Health Care
182,Lyondellbasell Industries Nv,LYB,Materials
183,T Rowe Price Group Inc,TROW,Financials
184,Equifax Inc,EFX,Industrials
185,Weyerhaeuser Reit,WY,Real Estate
186,Zimmer Biomet Holdings Inc,ZBH,Health Care
187,Xylem Inc,XYL,Industrials
188,Sba Communications Reit Corp,SBAC,Real Estate
189,Resmed Inc,RMD,Health Care
190,Keysight Technologies Inc,KEYS,Information Technology
191,Church And Dwight Inc,CHD,Consumer Staples
192,State Street Corp,STT,Financials
193,Discover Financial Services,DFS,Financials
194,Hartford Financial Services Group,HIG,Financials
195,Albemarle Corp,ALB,Materials
196,Steris,STE,Health Care
197,Eversource Energy,ES,Utilities
198,Take Two Interactive Software Inc,TTWO,Communication
199,Monolithic Power Systems Inc,MPWR,Information Technology
200,Cardinal Health Inc,CAH,Health Care
201,Equity Residential Reit,EQR,Real Estate
202,Royal Caribbean Group Ltd,RCL,Consumer Discretionary
